symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,exp_rat,debt / assets,inc / earn,roc
SATS,-0.0,-0.0,0.44,0.05,-87.42,9.85,,-0.0,0.01,-inf,0.89,0.25,0.44,-0.0
SATL,-1.61,1.76,0.0,0.0,226.0,-23.79,,-0.73,,,17.19,,-0.17,0.38
SASR,0.01,0.1,1.02,0.15,47.07,-6.39,['1868'],0.06,0.05,17.17,0.42,0.01,0.0,0.08
SASI,-1.87,-3.62,0.0,0.0,12.56,-13.97,['1985'],-3.68,-3.68,-37.07,5.57,0.0,-0.0,-3.62
SAR,0.06,0.12,0.84,0.15,112.38,6.32,,0.12,0.07,9.03,0.43,0.56,0.49,0.06
SAP,0.07,0.14,3.25,0.04,12.81,-11.4,['1972'],0.14,0.12,8.34,0.81,0.13,0.04,0.1
SANW,-0.15,-0.33,0.85,-0.83,66.24,-146.83,['1980'],-0.32,-0.17,-4.82,1.44,0.19,-0.1,-0.23
SANM,0.03,0.06,2.23,0.06,-52.29,-30.18,['1980'],0.06,0.06,17.27,0.96,0.08,0.07,0.04
SANG,-0.05,-0.07,0.29,-1.32,-13107.54,-15.18,['1984'],-0.08,-0.06,-13.1,1.02,0.17,-0.7,-0.05
SAND,0.03,0.03,1.64,0.03,87.81,-144.09,,0.04,,,0.62,,0.05,0.03
SANA,-0.45,0.78,1.22,-0.4,178.84,-49.47,,-0.06,-0.06,-17.27,inf,0.0,0.0,-0.47
SAN,0.0,0.03,0.57,0.16,-147.94,-37.37,['1856'],0.02,0.01,50.1,0.62,0.12,0.0,0.01
SAMG,0.06,0.16,2.25,0.08,17.5,-0.45,,0.14,0.13,8.44,0.73,0.04,0.01,0.07
SAMA,-0.0,0.13,-39.7,-0.0,0.0,0.0,,0.06,0.06,17.27,0.0,0.0,0.0,-0.0
SAM,0.1,0.14,4.66,0.0,0.26,-73.93,['1984'],0.17,0.17,7.58,0.97,0.0,0.0,0.12
SALM,-0.02,-0.08,0.2,1.16,229.85,18.28,['1974'],-0.06,0.01,-16.57,0.9,0.33,0.63,-0.02
SAL,0.01,0.1,0.63,0.19,23.8,-4.38,['1848'],0.06,0.05,17.17,0.58,0.02,0.0,0.08
SAIC,0.04,0.14,3.85,0.04,29.99,-18.52,['1969'],0.11,0.07,9.79,0.93,0.41,0.2,0.05
SAIA,0.1,0.16,5.06,0.04,37.68,-153.37,['1924'],0.18,,,0.86,,0.01,0.12
SAI,-0.59,2.09,0.0,0.0,0.0,-85.58,,0.45,0.45,6.72,0.0,0.0,0.0,-1.05
SAH,0.03,0.12,2.0,0.16,-245.16,,['1997'],0.09,0.06,11.71,0.96,0.3,0.12,0.05
SAGE,-0.25,-0.28,1.31,-0.2,-94.07,-168.86,,-0.39,-0.39,-6.46,74.07,0.0,0.0,-0.28
SAGA,-0.0,0.13,0.0,0.0,0.0,0.0,,0.06,0.06,17.27,0.0,0.0,0.0,-0.0
SAFT,0.06,0.13,1.47,0.1,17.69,-2.88,['1979'],0.12,0.12,9.53,0.81,0.01,0.0,0.12
SAFE,0.01,0.04,0.96,0.05,91.11,-287.33,,0.03,0.03,33.63,0.22,0.6,0.53,0.01
SACH,0.05,0.1,0.62,0.12,24.32,-37.41,,0.1,0.05,10.5,0.29,0.43,0.0,0.07
SABS,-0.12,1.32,1.21,-0.37,-254.55,99.09,,0.54,,,1.22,,-0.02,-0.18
SABR,-0.08,-0.57,-3.67,-0.5,-329.73,-27.71,,-0.36,0.1,-1.78,1.39,0.89,-0.4,-0.08
SA,-0.02,-0.03,1.33,0.0,-39.69,14.05,['1979'],-0.04,-0.04,-25.4,inf,0.0,-0.0,-0.02
S,-0.35,0.18,2.5,-0.07,92.07,-32.33,,-0.26,,,2.3,,-0.0,-0.78
RZLT,-1.27,-5.3,0.17,-1.62,22.01,,,-3.92,,,inf,,-0.04,-2.82
RYTM,-0.42,-0.46,0.0,0.0,12.39,-21.19,,-0.65,-0.65,-8.04,54.92,0.0,0.0,-0.46
RYN,0.03,0.05,2.86,0.03,77.31,751.46,,0.06,0.05,17.17,0.77,0.35,0.18,0.03
RYI,0.04,0.5,2.11,0.26,-249.79,-421.75,['1842'],0.29,0.17,5.15,0.92,0.26,0.12,0.06
RYAN,0.02,0.11,12.34,0.02,1.43,-113.95,,0.08,0.06,13.1,0.83,0.29,0.32,0.05
RYAM,0.02,0.06,0.59,0.14,3882.18,-192.75,['1926'],0.05,-0.17,18.3,1.0,0.36,-11.27,0.02
RYAAY,0.0,0.01,3.08,-0.01,-119.82,-208.59,['1985'],0.0,0.0,inf,1.07,0.25,-0.27,0.01
RY,0.01,0.16,1.52,0.11,10.97,-215.87,['1864'],0.09,0.04,11.51,0.57,0.06,0.0,0.06
RXT,-0.04,-0.24,0.72,-0.23,16.94,15764.29,['1998'],-0.16,-0.01,-6.35,0.93,0.54,0.94,-0.05
RXST,0.39,-0.24,2.38,-0.15,-177.36,-0.32,['1997'],0.27,0.23,6.0,3.34,0.21,-0.07,0.43
RXRX,-0.4,0.19,2.75,-0.12,77.47,-27.6,,-0.31,-0.3,-6.23,18.96,0.0,-0.02,-0.43
RXRA,0.01,-0.14,-20.8,0.01,0.0,0.0,,-0.06,-0.06,-17.27,0.0,0.0,0.0,0.01
RXO,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
RXDX,-0.54,0.42,6.88,-0.06,168.41,-51.2,['1800'],-0.33,,,26.98,,-0.01,-0.87
RWT,-0.0,-0.03,0.63,0.37,-185.8,25.92,['1994'],-0.02,-0.0,-50.0,0.37,0.74,0.0,-0.0
RWOD,-0.86,1.2,0.0,0.0,0.0,0.0,,-0.26,-0.26,-6.45,0.0,0.0,0.0,1.2
RWLK,-0.67,-3.33,0.66,-0.21,-15.55,8.93,,-2.34,,,3.12,,,-1.01
RWAY,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
RVYL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0
RVSN,-1.37,-3.24,0.0,0.0,54.32,-22.38,,-2.99,-2.99,-30.23,12.59,0.0,,-1.86
RVSB,0.01,0.11,1.07,0.13,22.02,22.12,['1923'],0.06,0.05,17.17,0.57,0.02,0.0,0.09
RVPH,-85.05,-0.23,1.85,-0.16,140.8,77.98,,-85.16,-85.16,-851.61,inf,0.0,,-0.1
RVP,0.14,0.28,0.7,0.81,155.3,-156.35,['1994'],0.28,0.28,6.37,0.61,0.01,0.0,0.17
RVNC,-0.5,-1.64,22.89,-0.18,29.5,-19.89,['1999'],-1.32,-0.24,-3.16,4.53,0.53,-0.02,-0.58
RVMD,-0.23,0.04,2.77,-0.11,71.32,-60.59,,-0.21,-0.21,-6.86,7.4,0.0,-0.0,-0.26
RVLV,0.18,0.34,5.76,0.05,50.42,-21.29,,0.35,0.35,6.36,0.88,0.0,0.0,0.31
RVLP,-0.35,-1.09,0.0,0.0,19.31,-3.76,,-0.9,-0.55,-6.61,5.42,0.3,-0.04,-0.41
RUTH,0.07,0.25,4.39,0.07,-141.93,87.85,['1965'],0.2,0.15,6.5,0.88,0.13,0.07,0.1
RUSHB,0.05,0.13,2.03,0.08,0.0,-17.3,['1965'],0.12,0.1,9.33,0.0,0.11,0.01,0.08
RUSHA,0.05,0.13,1.89,0.09,31.03,-17.3,['1965'],0.12,0.1,9.33,0.94,0.11,0.01,0.08
RUN,-0.0,0.0,1.02,-0.01,-271.27,-27.93,,0.0,0.02,inf,1.42,0.39,-0.46,-0.0
RUM,-0.28,0.87,0.0,0.0,607.3,-81.81,,0.15,,,1.8,,-0.39,1.1
RUBY,-0.46,-0.78,0.1,-10.56,34.35,-16.17,,-0.85,-0.57,-6.88,inf,0.24,-0.03,-0.5
RTX,0.02,0.07,2.0,0.03,-122.76,64.42,,0.06,0.05,17.17,0.89,0.19,0.2,0.03
RTO,0.03,0.13,0.0,0.0,-127.26,-20.18,['1903'],0.1,0.06,10.6,0.88,0.3,0.09,0.05
RTL,-0.01,-0.02,0.0,0.0,-317.77,-11.51,,-0.02,0.01,-49.9,0.78,0.51,1.11,-0.01
RSVR,,,,,,,,,,,,,,
RSSS,-0.06,-0.21,12.66,-0.03,128.21,-182.48,,-0.16,-0.16,-7.85,1.05,0.0,0.0,-0.21
RSLS,-1.34,-2.12,0.09,-15.77,35.64,36.53,,-2.4,,,2.87,,-0.03,-1.71
RSKD,-0.16,0.09,1.63,-0.21,728.27,-111.58,,-0.12,-0.12,-9.53,1.24,0.0,0.0,-0.21
RSI,-0.56,2.66,9.02,-0.03,-632.85,-54.92,,0.77,0.77,9.0,1.19,0.0,-0.0,11.12
RSG,0.05,0.13,4.84,0.03,9.01,-7.07,['1996'],0.12,0.07,9.03,0.81,0.37,0.15,0.05
RS,0.09,0.14,2.01,0.12,82.05,7.93,['1939'],0.16,0.13,7.55,0.86,0.17,0.03,0.1
RRX,0.04,0.08,1.35,0.02,-2.18,-0.13,['1955'],0.08,0.07,13.2,0.9,0.18,0.16,0.05
RRR,0.02,0.98,46.42,0.09,1341.73,109.56,['1976'],0.51,0.04,2.36,0.66,0.9,0.19,0.02
RRGB,-0.09,-0.74,1.7,-0.38,1111.48,4058.52,['1969'],-0.46,-0.09,-3.07,1.02,0.18,-0.68,-0.11
RRC,-0.12,-0.35,3.57,0.06,-72.7,-85.35,1976,-0.3,-0.08,-4.13,0.82,0.41,0.35,-0.13
RRBI,0.01,0.11,1.28,0.09,12.71,64.66,['1998'],0.06,,,0.57,,0.0,0.1
RRAC,0.06,-0.67,-13.77,0.05,0.0,0.0,,-0.28,-0.28,-6.37,0.0,0.0,0.0,0.06
RPTX,-0.43,0.17,2.25,-0.16,95.65,4.52,,-0.34,,,15.3,,0.0,-0.48
RPT,0.02,0.06,1.2,0.07,-154.19,9.64,,0.05,0.05,20.5,0.8,0.47,0.84,0.02
RPRX,0.1,0.25,3.24,0.03,-8.15,-6.71,['1996'],0.22,0.11,5.65,0.38,0.41,0.12,0.1
RPM,0.06,0.24,6.67,0.04,25.7,-529.84,['1947'],0.18,0.11,6.66,0.9,0.31,0.13,0.09
RPID,-0.5,0.08,0.41,-0.81,86.72,-36.73,,-0.46,,,3.03,,-0.06,-0.67
RPHM,-0.37,0.24,0.37,-0.73,80.42,-41.97,,-0.25,-0.25,-6.5,inf,0.0,0.0,-0.4
RPD,-0.1,-0.38,-13.08,-0.09,42.85,16.01,,-0.29,0.07,-2.75,1.21,0.63,-0.13,-0.17
RPAY,-0.04,-0.11,0.91,-0.06,-195.43,-19.21,,-0.1,-0.07,-10.7,1.17,0.27,-0.1,-0.04
ROVR,-0.27,0.25,2.89,-0.08,0.85,-191.13,,-0.15,,,1.13,,-0.2,-0.34
ROST,0.14,0.36,10.24,0.04,609.09,15.31,['1957'],0.32,0.21,5.22,0.88,0.18,0.03,0.21
ROSS,0.03,-0.32,-15.52,0.02,0.0,0.0,,-0.13,-0.13,-8.99,0.0,0.0,0.0,0.03
ROSE,0.05,-0.56,-15.76,0.04,0.0,0.0,,-0.23,-0.23,-6.65,0.0,0.0,0.0,0.05
ROP,0.06,0.12,3.95,0.03,20.76,-10.75,['1981'],0.12,0.08,9.13,0.73,0.3,0.15,0.07
ROOT,-0.33,0.03,3.43,-0.28,126.93,-54.16,,-0.32,,,2.4,,-0.04,-0.45
RONI,-0.03,0.28,-8.95,-0.03,0.0,0.0,,0.11,0.11,10.19,0.0,0.0,0.0,-0.03
ROL,0.16,0.29,18.17,0.02,16.83,-8.63,['1948'],0.3,0.27,6.03,0.82,0.07,0.0,0.22
ROKU,-0.0,-0.01,2.83,0.03,-326.19,-118.17,,-0.0,0.0,-inf,0.91,0.02,0.01,-0.01
ROK,0.12,0.9,12.68,0.04,36.57,1.47,['1903'],0.57,0.25,4.25,0.84,0.32,0.08,0.17
ROIV,-0.23,-0.46,2.17,-0.24,-126.06,17.55,,-0.46,-0.4,-6.17,16.17,0.08,-0.01,-0.27
ROIC,0.02,0.04,1.45,0.03,15.66,0.39,,0.04,0.04,25.4,0.67,0.45,0.62,0.02
ROG,0.05,0.07,1.81,0.05,25.31,0.19,['1832'],0.08,0.07,13.2,0.86,0.12,0.01,0.06
ROCL,,2.93,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,
ROCK,0.06,0.1,1.98,0.05,6.11,449.52,['1972'],0.11,0.11,10.19,0.91,0.02,0.01,0.08
ROCG,-0.05,-0.2,175.09,-0.0,0.0,-49.81,,-0.15,-0.15,-8.17,0.0,0.0,0.0,-0.05
