symbol,adj growth,wacc,roa,dcf,current price,future price,growth,avg roc,niev,cash,net_margin
TLK,0.08,0.0779,0.09,1305767347017848.8,25.62,1318128.74,5144821.0,0.12,975.58,0.55,0.17
CAAP,-6.49,0.12240000000000001,-0.03,23106301109952.2,8.86,143864.1,1623648.0,-0.03,-0.08,0.45,-0.17
CAAP,-6.49,0.12240000000000001,-0.03,23106301109952.2,8.86,143864.1,1623648.0,-0.03,-0.08,0.45,-0.17
VNET,2.81,0.0248,-0.04,10669106352298.37,4.97,73240.61,1473554.0,-0.05,0.69,0.26,0.08
BCSF,3.4,0.0638,0.03,7266032175582.78,13.27,112542.96,848001.0,0.03,0.14,2.09,0.61
BCSF,3.4,0.0638,0.03,7266032175582.78,13.27,112542.96,848001.0,0.03,0.14,2.09,0.61
AKBA,0.24,0.1362,-0.41,-3769225527.73,0.2901,-21.54,-7525.0,-0.65,-5.57,0.58,-1.32
BEDU,-0.38,0.0233,0.02,40817859845.41,2.63,342.45,12921.0,0.03,-0.17,0.21,-0.04
BEDU,-0.38,0.0233,0.02,40817859845.41,2.63,342.45,12921.0,0.03,-0.17,0.21,-0.04
VOD,3.49,0.0346,-0.01,183892944173604.8,11.25,67661.43,601335.0,-0.01,0.07,0.22,0.05
ATUS,2.19,0.042699999999999995,0.01,3974703936082.41,4.28,14783.27,345304.0,0.01,0.51,0.07,0.1
ATUS,2.19,0.042699999999999995,0.01,3974703936082.41,4.28,14783.27,345304.0,0.01,0.51,0.07,0.1
BON,2.5,0.0097,0.1,50912895427.09,1.04,6111.99,587591.0,0.18,0.53,0.25,0.18
BON,2.5,0.0097,0.1,50912895427.09,1.04,6111.99,587591.0,0.18,0.53,0.25,0.18
CCU,0.05,0.1017,0.07,1017452617092.92,12.61,5507.16,43573.0,0.1,85.49,0.34,0.08
CCU,0.05,0.1017,0.07,1017452617092.92,12.61,5507.16,43573.0,0.1,85.49,0.34,0.08
ALTG,-5.6,0.0832,-0.03,1187727904053.69,12.22,36699.73,300225.0,-0.1,-0.05,0.01,-0.02
BKCC,2.72,0.0987,-0.03,737948103780.2,3.81,9976.3,261744.99999999997,-0.02,0.24,0.08,1.44
BKCC,2.72,0.0987,-0.03,737948103780.2,3.81,9976.3,261744.99999999997,-0.02,0.24,0.08,1.44
