symbol,lookahead,adj growth rate,wacc,terminal val,dcf,current price,future price,growth,niev,adj growth,avg roc,cash,net_margin,roa
MOMO,-2476651800.0,-0.59,0.0472,197781820689.66,55827625795.84,5.72,283.46,4856.0,-2.47,-0.59,0.06,2.21,-0.2,0.05
YTRA,-406172500.0,-0.1,0.162,-8204807862.41,-13804299296.82,2.39,-239.11,-10105.0,-3.21,-0.1,-0.42,0.19,-0.24,-0.12
AYTU,-93647050.0,0.82,0.0282,,,0.225,,,-17.4,0.82,-0.73,0.3,-1.14,-0.47
APWC,-2245700.0,0.35,0.0393,-31261454545.45,-2850109435.63,1.3264,-206.24,-15649.0,-0.14,0.35,-0.0,0.27,-0.01,-0.0
GNCA,-28216600.0,0.06,0.0556,-2735330000.0,-9160456532.89,0.0074,-159.46,-2154965.0,-78.09,0.06,-0.92,1.99,-20.23,-0.67
GURE,-786010.2999999999,-0.49,0.032400000000000005,-11108096272.0,-448640224.2,3.65,-42.85,-1274.0,-0.02,-0.49,-0.09,6.89,-0.02,-0.09
HLG,0.0,0.0,0.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANH,213340650.0,-0.07,0.0463,20666116455.7,2832879703.67,6.4,52.76,724.0,0.73,-0.07,0.13,0.62,0.08,0.09
OXBRW,0.0,0.0,0.0,683904000.0,-2639075000.0,0.1097,-460.28,-419681.00000000006,-32.74,0.0,-0.29,0.57,0.0,-0.19
EMMS,42912250.0,1.27,0.0622,-548222222.22,7761838633.71,3.05,638.48,20834.0,1.24,1.27,0.2,4.56,1.27,0.17
GLG,0.0,0.0,0.0518,647215327.78,,1.24,,,-0.01,0.0,0.37,0.16,0.0,0.43
NVFY,0.0,0.0,0.0786,-118537816.75,-187345320.62,0.52,-28.02,-5488.0,-5.74,0.0,-0.34,3.46,0.0,-0.32
BIDU,8692100000.0,1.89,0.0418,8718572972972.97,17262447996424.77,113.8,49596.33,43482.0,0.25,1.89,0.06,0.49,0.08,0.05
FAMI,0.0,0.0,0.0634,-2116093080.0,-4151876955.42,0.558,-14.69,-2733.0,0.01,0.0,0.05,14.29,0.0,0.04
ADXS,-15182700.0,-0.11,0.0604,,,1.655,,,-0.07,-0.11,-0.83,5.28,-5.51,-0.63
CLRO,-6539900.0,-3.97,0.0917,-84598830.41,6973683013.97,0.7614,311.28,40783.0,-0.45,-3.97,-0.15,0.09,-0.27,-0.14
OMAB,2428675250.0,0.24,0.16699999999999998,37244914015.75,29472013481.03,69.83,610.55,774.0,0.84,0.24,0.16,1.22,0.33,0.14
CJJD,-2713301.15,1.13,0.024700000000000003,318693966.27,-933156449.49,1.88,-22.35,-1289.0,-0.04,1.13,-0.12,0.25,-0.02,-0.04
CETX,0.0,0.0,0.1934,0.0,0.0,0.1801,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
GLBS,12707500.0,1.52,0.0683,3443811428.57,3472996586.15,1.23,168.78,13622.0,0.59,1.52,-0.25,3.73,0.34,-0.2
XNET,1012350.0,-0.33,0.056799999999999996,1920298305.08,832332207.79,2.03,12.42,512.0,0.01,-0.33,-0.08,1.03,0.0,-0.06
ADVM,-123709000.0,0.21,0.036699999999999997,-482081600000.02,-7061815937.92,0.66,-71.95,-11002.0,-2.25,0.21,-0.32,1.6,-19.41,-0.3
CREG,-10395661.5,-1.42,0.1085,,,2.92,,,-0.6,-1.42,-0.21,6.36,-inf,-0.13
LMFA,4045335.3,0.79,0.11289999999999999,47296255.58,145810748.09,0.6301,11.39,1707.9999999999998,0.59,0.79,-0.3,29.77,5.86,-0.18
CLSN,-17653862.5,0.15,0.07,661938784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INPX,-58781750.0,0.36,0.2104,-213127576.6,-383560066.32,2.59,-3.08,-219.0,-0.21,0.36,-2.68,1.93,-4.32,-1.14
CLBS,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWR,-13722400.0,0.05,0.1207,-134927619.05,-350975772.5,1.17,-9.95,-950.0,-0.39,0.05,-0.58,21.66,-inf,-0.52
CYCCP,0.0,0.0,0.07,-641784000.0,-980091500.0,9.99,-78.42,-885.0,-0.99,0.0,-0.46,6.91,0.0,-0.39
